Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,6048602,800,14.74,4100,14.70,14.70,5938009,110593
IEFA,2427286,700,59.45,2,57.57,58.78,2409902,17384
VIXY,1245835,600,18.42,600,18.39,18.34,1244341,1494
ITB,919255,0,0.00,2,44.13,52.50,913506,5749
USMV,852314,9,73.95,44,69.69,71.12,848419,3895
ARKG,757573,1,32.68,1,31.09,31.23,757143,430
USHY,630746,0,0.00,85,34.62,34.62,629281,1465
EFV,486259,0,0.00,5,40.20,43.40,481944,4315
INDA,481509,295,42.06,50,39.10,39.37,470946,10563
MTUM,473366,0,0.00,0,0.00,139.99,471672,1694
QUAL,463981,0,0.00,0,0.00,111.73,457244,6737
VLUE,450906,0,0.00,0,0.00,90.52,443565,7341
SVXY,413984,400,47.98,400,47.94,48.00,412307,1677
JPST,412985,0,0.00,900,50.08,50.09,412985,0
UVIX,412530,50,17.80,1,17.32,17.36,401429,11101
VXX,394199,200,23.15,200,22.79,22.81,376408,17791
FLQL,392518,0,0.00,2,35.00,38.82,373327,19191
EZU,370687,0,0.00,3,36.01,37.00,363388,7299
BBEU,367475,0,0.00,10,44.00,46.08,357202,10273
GOVT,324075,1000,24.00,0,0.00,23.92,323922,153
FLOT,310840,1200,49.92,0,0.00,48.47,302080,8760
CBOE,308867,2,122.19,0,0.00,113.17,306430,2437
REM,286762,239,27.28,3,26.00,26.74,282138,4624
IGV,251567,1,289.00,3,255.00,269.61,250294,1273
FGRO,173356,0,0.00,0,0.00,12.99,173356,0
BBJP,162885,0,0.00,0,0.00,44.07,157319,5566
BBCA,155954,0,0.00,0,0.00,58.74,148378,7576
PJUL,155280,0,0.00,0,0.00,29.38,154357,923
SVIX,153061,20,10.40,100,10.28,10.34,149837,3224
IYZ,140526,5900,25.56,6100,24.54,25.13,137210,3316
IDV,134235,0,0.00,13,27.00,27.49,133585,650
EEMV,132726,0,0.00,0,0.00,55.43,128592,4134
HYD,119078,0,0.00,0,0.00,53.85,113532,5546
PAVE,111340,0,0.00,20,22.42,22.77,110964,376
EFAV,106655,0,0.00,0,0.00,63.31,105792,863
IGE,104932,0,0.00,0,0.00,35.98,104502,430
BBAX,101760,0,0.00,0,0.00,47.69,95927,5833
NOBL,93624,0,0.00,105,80.00,85.57,93488,136
COWZ,91083,0,0.00,1,42.57,43.11,91083,0
MOAT,81147,10,69.73,100,60.05,63.73,81143,4
IEO,73458,300,85.80,1,72.00,77.85,73458,0
ICSH,70447,0,0.00,200,50.00,50.04,70447,0
DIHP,66748,0,0.00,0,0.00,21.36,66748,0
RYLD,65997,0,0.00,80,20.44,20.54,64820,1177
ITM,65638,0,0.00,0,0.00,45.67,56633,9005
DFIC,63172,0,0.00,0,0.00,21.52,59339,3833
EFG,60907,0,0.00,0,0.00,80.49,59457,1450
ECH,57263,0,0.00,0,0.00,24.07,57263,0
NEAR,55757,200,49.27,450,49.25,49.26,55757,0
TAIL,54546,0,0.00,39,17.50,17.64,53293,1253
BJUL,48609,0,0.00,0,0.00,30.21,44266,4343
UJUL,47410,0,0.00,0,0.00,25.33,47410,0
GCOW,46824,0,0.00,0,0.00,30.80,39061,7763
ESGV,45659,70,78.50,0,0.00,66.40,45238,421
AVDR,43410,0,0.00,0,0.00,24.05,42910,500
VNM,37453,300,16.66,1002,14.34,14.36,37253,200
CALF,37020,0,0.00,0,0.00,33.69,37020,0
PICK,36704,0,0.00,2,34.94,35.62,36585,119
AAAU,35635,2000,17.95,1,17.92,17.94,30516,5119
ITA,34193,0,0.00,15,92.00,99.17,32831,1362
ACWV,32824,0,0.00,0,0.00,94.50,28044,4780
ARKQ,32211,40,54.00,1,47.47,50.19,32111,100
BBUS,31385,0,0.00,0,0.00,67.78,31385,0
HEFA,29859,0,0.00,0,0.00,31.82,29459,400
VSGX,29836,0,0.00,2,48.75,49.04,29217,619
FDG,28567,0,0.00,0,0.00,52.45,28567,0
ARKX,27270,7,15.00,99,13.00,13.43,26730,540
UAPR,27098,0,0.00,0,0.00,24.53,26798,300
VUSB,26907,800,49.23,100,49.10,49.20,26796,111
IBMP,23615,0,0.00,0,0.00,25.15,23615,0
IFRA,22800,0,0.00,0,0.00,34.04,21800,1000
FAIL,22700,0,0.00,20,21.10,22.29,22700,0
DRSK,22689,0,0.00,0,0.00,26.30,22689,0
XBJL,22183,0,0.00,0,0.00,24.69,22182,1
NULV,20880,0,0.00,0,0.00,33.38,20633,247
JMST,20315,0,0.00,0,0.00,50.66,20315,0
FDEC,19405,0,0.00,0,0.00,30.52,19405,0
DFIS,19083,0,0.00,0,0.00,20.82,16783,2300
DISV,18870,0,0.00,0,0.00,21.06,15370,3500
SYLD,18730,0,0.00,0,0.00,54.41,18730,0
CEMB,18578,0,0.00,0,0.00,42.83,18064,514
IBMN,18401,0,0.00,0,0.00,26.63,18401,0
CNYA,18383,220,38.10,4,37.96,38.05,10210,8173
ESML,18050,0,0.00,0,0.00,31.50,18050,0
PSMJ,18000,0,0.00,0,0.00,20.32,18000,0
VAMO,17816,0,0.00,0,0.00,25.73,17816,0
DJUN,17708,0,0.00,0,0.00,31.59,17708,0
DMAY,17375,0,0.00,0,0.00,30.79,16875,500
IYT,17325,0,0.00,0,0.00,212.90,17135,190
EMHY,17110,0,0.00,0,0.00,34.43,17110,0
GSUS,16968,0,0.00,0,0.00,51.48,16968,0
VFVA,16636,100,103.00,0,0.00,91.34,16636,0
PBDM,16033,0,0.00,0,0.00,23.35,16007,26
BBRE,15902,0,0.00,0,0.00,87.83,15802,100
FCPI,15808,0,0.00,0,0.00,29.10,15808,0
TMFM,15733,0,0.00,0,0.00,21.12,15333,400
FCTR,14435,0,0.00,0,0.00,27.19,14435,0
TMFG,13687,0,0.00,0,0.00,23.00,13687,0
SLVP,13200,1,10.90,60,9.80,9.87,12900,300
SHYD,13004,0,0.00,0,0.00,22.46,13004,0
KAPR,12893,0,0.00,0,0.00,24.20,12893,0
PTLC,12646,0,0.00,0,0.00,37.56,12646,0
MLN,11743,0,0.00,0,0.00,17.73,11643,100
VOTE,11709,0,0.00,0,0.00,43.77,11709,0
FBCG,11609,0,0.00,0,0.00,21.80,11609,0
ICF,11469,0,0.00,0,0.00,60.77,10555,914
IAGG,11311,0,0.00,0,0.00,49.81,10962,349
DIVB,11064,100,44.90,2,35.85,36.27,11064,0
JPHY,10871,0,0.00,0,0.00,43.61,10871,0
IBHD,10856,0,0.00,0,0.00,22.22,10756,100
PBTP,10846,0,0.00,0,0.00,25.52,10846,0
IYLD,10334,0,0.00,0,0.00,19.81,10334,0
GMOM,10309,0,0.00,0,0.00,29.49,9011,1298
OUSA,10247,0,0.00,0,0.00,40.33,9347,900
BAUG,10219,0,0.00,0,0.00,29.57,8919,1300
OILK,9965,102,59.00,200,53.70,54.04,9903,62
JCPB,9940,0,0.00,0,0.00,48.03,9840,100
OMFL,9668,0,0.00,0,0.00,41.19,9668,0
XJUN,9423,0,0.00,0,0.00,29.55,9423,0
MSTB,9190,0,0.00,0,0.00,25.03,9190,0
ENOR,9134,0,0.00,0,0.00,24.78,9134,0
ICVT,9043,0,0.00,3,68.00,69.36,9043,0
NULG,8792,0,0.00,0,0.00,48.17,8592,200
PTMC,8771,0,0.00,0,0.00,34.54,8771,0
IGRO,8763,0,0.00,0,0.00,57.32,8763,0
BALT,8622,0,0.00,0,0.00,25.82,8422,200
FJUN,8589,0,0.00,0,0.00,35.11,8489,100
NUDM,8479,0,0.00,0,0.00,25.23,8325,154
XMPT,8395,0,0.00,0,0.00,23.00,7995,400
NUMV,7886,0,0.00,0,0.00,30.63,7886,0
SMB,7693,0,0.00,0,0.00,17.10,7693,0
BOCT,7613,0,0.00,0,0.00,30.45,7613,0
BJAN,7529,0,0.00,0,0.00,32.12,7458,71
QDEC,7514,0,0.00,0,0.00,18.77,7514,0
BMAY,6895,0,0.00,0,0.00,28.33,6895,0
EPRF,6874,0,0.00,0,0.00,19.54,6619,255
ICOW,6666,0,0.00,0,0.00,26.92,5874,792
IYJ,6646,0,0.00,0,0.00,88.13,6646,0
SMMD,6637,0,0.00,0,0.00,51.54,6637,0
BUFG,6608,0,0.00,0,0.00,17.65,6608,0
DDWM,6478,0,0.00,0,0.00,27.98,6478,0
BBIN,6325,0,0.00,0,0.00,47.29,6325,0
PTNQ,6096,0,0.00,0,0.00,50.24,6096,0
JMUB,6056,0,0.00,0,0.00,49.91,6056,0
PAUG,6041,0,0.00,0,0.00,28.49,6041,0
GTIP,5982,0,0.00,0,0.00,51.54,5982,0
VIXM,5942,0,0.00,0,0.00,35.39,5593,349
FRDM,5937,0,0.00,2,27.20,27.56,5936,1
MOHR,5900,0,0.00,0,0.00,20.57,5900,0
GSEW,5882,0,0.00,0,0.00,55.52,5859,23
PFEB,5703,0,0.00,0,0.00,26.93,4425,1278
NUMG,5670,0,0.00,0,0.00,34.33,5470,200
MEAR,5562,0,0.00,0,0.00,49.72,5562,0
PSMR,5380,0,0.00,0,0.00,20.53,5380,0
IQDG,5358,0,0.00,0,0.00,29.62,5158,200
MFUL,5305,0,0.00,0,0.00,21.47,5305,0
RULE,5296,0,0.00,0,0.00,20.31,5296,0
PMAR,5079,0,0.00,0,0.00,29.51,5079,0
PJAN,5023,0,0.00,0,0.00,30.01,5023,0
VCEB,5014,0,0.00,0,0.00,62.94,5014,0
IGLD,5004,0,0.00,0,0.00,19.90,5004,0
EDEN,4956,0,0.00,25,75.00,86.34,4956,0
KNG,4922,0,0.00,0,0.00,49.11,4922,0
NJUL,4903,0,0.00,0,0.00,42.94,4902,1
DURA,4862,0,0.00,0,0.00,30.19,4762,100
IBHE,4780,0,0.00,0,0.00,22.42,4780,0
KJUL,4575,0,0.00,0,0.00,23.34,3575,1000
DALT,4493,0,0.00,0,0.00,8.91,4493,0
XJR,4440,0,0.00,0,0.00,32.42,4440,0
GHYG,4417,0,0.00,0,0.00,40.70,4417,0
QVAL,4304,0,0.00,0,0.00,29.92,4304,0
DWLD,4266,0,0.00,0,0.00,24.15,4266,0
AESR,4169,0,0.00,0,0.00,11.08,4169,0
FFTG,4134,0,0.00,0,0.00,24.63,4134,0
SHAG,4129,0,0.00,0,0.00,47.55,4129,0
SMIN,4120,0,0.00,0,0.00,48.80,4120,0
NUEM,4054,0,0.00,0,0.00,27.28,4027,27
BUFR,3934,0,0.00,0,0.00,21.41,3934,0
QTJL,3912,0,0.00,0,0.00,20.00,3912,0
IBMM,3888,0,0.00,0,0.00,25.97,3788,100
SECT,3883,0,0.00,1,35.92,36.37,3883,0
SMDV,3882,0,0.00,0,0.00,58.75,3421,461
ADFI,3757,0,0.00,0,0.00,8.51,3757,0
TILT,3748,0,0.00,0,0.00,145.22,3648,100
TYA,3718,0,0.00,0,0.00,18.21,3718,0
EMGF,3675,0,0.00,0,0.00,42.92,3675,0
IBML,3610,0,0.00,0,0.00,25.51,3610,0
TBJL,3604,0,0.00,0,0.00,21.18,3604,0
REGL,3568,0,0.00,0,0.00,67.46,3484,84
VFQY,3568,0,0.00,0,0.00,98.45,3393,175
HFGO,3545,0,0.00,2,11.00,11.45,3545,0
BSEP,3538,0,0.00,0,0.00,29.32,3538,0
PAPR,3538,0,0.00,0,0.00,27.01,3538,0
FYLD,3524,0,0.00,0,0.00,23.26,3224,300
PRNT,3510,10,30.00,230,20.70,21.18,3510,0
LVHI,3506,0,0.00,5,25.44,25.63,3506,0
THY,3488,0,0.00,0,0.00,23.10,3488,0
DDLS,3448,0,0.00,0,0.00,30.12,3348,100
XSHD,3269,0,0.00,0,0.00,19.83,3269,0
FAPR,3207,0,0.00,0,0.00,28.39,2926,281
BDEC,3196,0,0.00,0,0.00,30.47,3196,0
BLDG,3171,0,0.00,0,0.00,26.74,3171,0
NUSC,3084,0,0.00,0,0.00,32.81,2985,99
FLQM,3026,0,0.00,0,0.00,38.83,2926,100
FPFD,3018,0,0.00,0,0.00,20.13,3018,0
FMAY,2997,0,0.00,0,0.00,34.34,2997,0
SVAL,2981,0,0.00,0,0.00,26.78,2981,0
GOVZ,2976,0,0.00,0,0.00,15.66,2976,0
GVI,2975,0,0.00,0,0.00,105.47,2875,100
XBTF,2927,18,35.23,15,17.38,18.29,2920,7
XDQQ,2875,0,0.00,0,0.00,21.52,2875,0
TMFC,2823,0,0.00,0,0.00,31.86,1156,1667
MSVX,2806,0,0.00,0,0.00,25.40,2806,0
OGIG,2716,70,44.44,49,26.80,26.80,2716,0
BUFB,2686,0,0.00,0,0.00,22.38,2686,0
FJUL,2607,0,0.00,0,0.00,33.18,2607,0
PSFF,2606,0,0.00,10,10.01,20.77,2606,0
MRGR,2590,0,0.00,0,0.00,40.21,2590,0
GVAL,2571,100,22.30,0,0.00,18.09,2571,0
EYLD,2564,0,0.00,0,0.00,26.71,2564,0
XSHQ,2546,0,0.00,0,0.00,31.04,2546,0
RSEE,2500,0,0.00,0,0.00,23.98,2500,0
HSRT,2483,0,0.00,0,0.00,38.02,2483,0
BUFF,2425,0,0.00,0,0.00,33.09,2425,0
UJUN,2404,0,0.00,0,0.00,26.61,2404,0
XDSQ,2358,0,0.00,0,0.00,22.76,2358,0
DFND,2283,0,0.00,0,0.00,33.35,2283,0
PDEC,2279,0,0.00,0,0.00,28.75,2279,0
ROMO,2268,0,0.00,0,0.00,25.67,2268,0
HEEM,2251,0,0.00,0,0.00,25.59,2051,200
JEMA,2201,0,0.00,0,0.00,36.55,1841,360
DUSA,2196,0,0.00,0,0.00,27.36,2196,0
JPIB,2190,0,0.00,0,0.00,44.94,1990,200
QMAR,2141,0,0.00,0,0.00,19.21,2141,0
QTAP,2101,0,0.00,0,0.00,23.70,2101,0
FAUG,2093,0,0.00,0,0.00,34.54,2093,0
FLIA,2000,0,0.00,0,0.00,23.14,2000,0
SEIV,2000,0,0.00,0,0.00,23.36,2000,0
PNOV,1939,0,0.00,0,0.00,28.38,1939,0
TMAT,1934,0,0.00,0,0.00,13.21,1934,0
LEAD,1897,0,0.00,0,0.00,47.21,1847,50
HYHG,1889,0,0.00,0,0.00,56.65,1689,200
RODE,1859,0,0.00,0,0.00,24.51,1859,0
FFEB,1857,0,0.00,0,0.00,34.14,1857,0
FDRV,1818,0,0.00,0,0.00,17.86,1545,273
SMMV,1813,0,0.00,0,0.00,34.07,1813,0
DUDE,1811,0,0.00,0,0.00,23.83,1243,568
JBBB,1802,0,0.00,0,0.00,45.65,1802,0
XJH,1794,0,0.00,0,0.00,30.71,1794,0
PJUN,1780,0,0.00,0,0.00,29.03,1580,200
DDEC,1728,0,0.00,0,0.00,29.92,1728,0
PSEP,1680,0,0.00,0,0.00,28.13,1680,0
NETZ,1664,0,0.00,0,0.00,43.45,1664,0
ADME,1645,0,0.00,0,0.00,34.54,1645,0
FCLD,1642,0,0.00,0,0.00,15.84,1441,201
KJAN,1635,0,0.00,0,0.00,28.24,1635,0
TTAC,1609,0,0.00,0,0.00,45.15,1609,0
NURE,1576,12,38.50,0,0.00,32.49,1576,0
HEGD,1572,0,0.00,0,0.00,17.04,1572,0
DAPR,1544,0,0.00,0,0.00,29.14,1544,0
IDHD,1525,0,0.00,0,0.00,23.73,1525,0
